"기준_년분기_코드","행정동_코드","행정동_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수","프랜차이즈_점포_수"
"20213","11440610","염리동","CS100006","패스트푸드점","8","16","19","3","0","0","8"
"20213","11440610","염리동","CS100007","치킨전문점","5","8","0","0","0","0","3"
"20213","11440610","염리동","CS100008","분식전문점","19","23","0","0","0","0","4"
"20213","11440610","염리동","CS100009","호프-간이주점","16","21","0","0","5","1","5"
"20213","11440610","염리동","CS100010","커피-음료","35","52","2","1","2","1","17"
"20213","11440610","염리동","CS200001","일반교습학원","44","46","9","4","7","3","2"
"20213","11440610","염리동","CS200002","외국어학원","8","8","0","0","0","0","0"
"20213","11440610","염리동","CS200003","예술학원","28","28","14","4","4","1","0"
"20213","11440610","염리동","CS200005","스포츠 강습","10","10","0","0","0","0","0"
"20213","11440610","염리동","CS200006","일반의원","6","6","0","0","0","0","0"
"20213","11440610","염리동","CS200007","치과의원","6","6","0","0","0","0","0"
"20213","11440610","염리동","CS200008","한의원","3","3","0","0","0","0","0"
"20213","11440610","염리동","CS200009","동물병원","3","3","0","0","0","0","0"
"20213","11440610","염리동","CS200013","기타법무서비스","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS200015","세무사사무소","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS200016","당구장","4","4","0","0","0","0","0"
"20213","11440610","염리동","CS200017","골프연습장","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS200021","기타오락장","2","2","0","0","0","0","0"
"20213","11440610","염리동","CS200022","복권방","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS200024","스포츠클럽","3","4","0","0","0","0","1"
"20213","11440610","염리동","CS200025","자동차수리","4","4","0","0","0","0","0"
"20213","11440610","염리동","CS200026","자동차미용","3","3","0","0","0","0","0"
"20213","11440610","염리동","CS200027","모터사이클수리","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS200028","미용실","27","29","7","2","7","2","2"
"20213","11440610","염리동","CS200029","네일숍","3","3","0","0","0","0","0"
"20213","11440610","염리동","CS200030","피부관리실","5","6","0","0","0","0","1"
"20213","11440610","염리동","CS200031","세탁소","9","10","0","0","0","0","1"
"20213","11440610","염리동","CS200032","가전제품수리","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS200033","부동산중개업","73","73","3","2","1","1","0"
"20213","11440610","염리동","CS200034","여관","2","2","0","0","0","0","0"
"20213","11440610","염리동","CS200035","게스트하우스","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS200036","고시원","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS200037","노래방","7","8","0","0","0","0","1"
"20213","11440610","염리동","CS200038","독서실","2","4","0","0","0","0","2"
"20213","11440610","염리동","CS200040","녹음실","2","2","0","0","0","0","0"
"20213","11440610","염리동","CS200041","사진관","4","4","0","0","0","0","0"
"20213","11440610","염리동","CS200042","통번역서비스","3","3","0","0","0","0","0"
"20213","11440610","염리동","CS200043","건축물청소","5","5","0","0","0","0","0"
"20213","11440610","염리동","CS200044","여행사","3","3","0","0","0","0","0"
"20213","11440610","염리동","CS200046","의류임대","13","13","0","0","0","0","0"
"20213","11440610","염리동","CS200047","가정용품임대","2","2","0","0","0","0","0"
"20213","11440610","염리동","CS300001","슈퍼마켓","12","15","7","1","7","1","3"
"20213","11440610","염리동","CS300002","편의점","5","13","0","0","0","0","8"
"20213","11440610","염리동","CS300003","컴퓨터및주변장치판매","8","8","0","0","0","0","0"
"20213","11440610","염리동","CS300004","핸드폰","5","5","0","0","0","0","0"
"20213","11440610","염리동","CS300006","미곡판매","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS300007","육류판매","7","7","0","0","0","0","0"
"20213","11440610","염리동","CS300008","수산물판매","3","3","0","0","0","0","0"
"20213","11440610","염리동","CS300009","청과상","9","9","0","0","0","0","0"
"20213","11440610","염리동","CS300010","반찬가게","4","4","0","0","0","0","0"
"20213","11440610","염리동","CS300011","일반의류","12","12","0","0","17","2","0"
"20213","11440610","염리동","CS300013","유아의류","4","4","0","0","0","0","0"
"20213","11440610","염리동","CS300015","가방","2","2","0","0","0","0","0"
"20213","11440610","염리동","CS300016","안경","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS300017","시계및귀금속","3","3","0","0","0","0","0"
"20213","11440610","염리동","CS300018","의약품","4","5","0","0","0","0","1"
"20213","11440610","염리동","CS300019","의료기기","3","3","0","0","0","0","0"
"20213","11440610","염리동","CS300020","서적","6","7","14","1","0","0","1"
"20213","11440610","염리동","CS300021","문구","4","4","0","0","0","0","0"
"20213","11440610","염리동","CS300022","화장품","10","10","0","0","0","0","0"
"20213","11440610","염리동","CS300024","운동/경기용품","2","2","0","0","0","0","0"
"20213","11440610","염리동","CS300025","자전거 및 기타운송장비","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS300027","섬유제품","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS300028","화초","12","12","8","1","0","0","0"
"20213","11440610","염리동","CS300029","애완동물","2","2","0","0","0","0","0"
"20213","11440610","염리동","CS300031","가구","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS300032","가전제품","4","4","25","1","0","0","0"
"20213","11440610","염리동","CS300033","철물점","2","2","0","0","0","0","0"
"20213","11440610","염리동","CS300035","인테리어","4","4","0","0","0","0","0"
"20213","11440610","염리동","CS300036","조명용품","4","4","0","0","0","0","0"
"20213","11440610","염리동","CS300039","모터사이클및부품","1","1","0","0","0","0","0"
"20213","11440610","염리동","CS300040","재생용품 판매점","4","4","0","0","0","0","0"
"20213","11440610","염리동","CS300042","주유소","2","2","0","0","0","0","0"
"20213","11440610","염리동","CS300043","전자상거래업","26","26","0","0","0","0","0"
"20213","11440630","신수동","CS100001","한식음식점","70","78","1","1","0","0","8"
"20213","11440630","신수동","CS100002","중식음식점","8","8","0","0","13","1","0"
"20213","11440630","신수동","CS100003","일식음식점","5","6","17","1","0","0","1"
"20213","11440630","신수동","CS100004","양식음식점","11","13","8","1","0","0","2"
"20213","11440630","신수동","CS100005","제과점","8","10","0","0","0","0","2"
"20213","11440630","신수동","CS100006","패스트푸드점","3","11","9","1","0","0","8"
"20213","11440630","신수동","CS100007","치킨전문점","3","14","14","2","7","1","11"
"20213","11440630","신수동","CS100008","분식전문점","17","20","10","2","20","4","3"
"20213","11440630","신수동","CS100009","호프-간이주점","12","14","0","0","7","1","2"
"20213","11440630","신수동","CS100010","커피-음료","36","40","8","3","5","2","4"
"20213","11440630","신수동","CS200001","일반교습학원","40","47","2","1","0","0","7"
"20213","11440630","신수동","CS200002","외국어학원","6","6","0","0","0","0","0"
"20213","11440630","신수동","CS200003","예술학원","20","22","5","1","0","0","2"
"20213","11440630","신수동","CS200004","컴퓨터학원","1","1","0","0","0","0","0"
"20213","11440630","신수동","CS200005","스포츠 강습","18","18","6","1","6","1","0"
"20213","11440630","신수동","CS200006","일반의원","8","8","13","1","13","1","0"
"20213","11440630","신수동","CS200007","치과의원","5","5","0","0","0","0","0"
"20213","11440630","신수동","CS200008","한의원","8","8","0","0","0","0","0"
"20213","11440630","신수동","CS200009","동물병원","1","1","0","0","0","0","0"
"20213","11440630","신수동","CS200011","변리사사무소","1","1","0","0","0","0","0"
"20213","11440630","신수동","CS200012","법무사사무소","2","2","0","0","0","0","0"
"20213","11440630","신수동","CS200013","기타법무서비스","2","2","0","0","0","0","0"
"20213","11440630","신수동","CS200014","회계사사무소","2","2","0","0","0","0","0"
"20213","11440630","신수동","CS200015","세무사사무소","50","50","8","4","2","1","0"
"20213","11440630","신수동","CS200016","당구장","3","3","0","0","0","0","0"
"20213","11440630","신수동","CS200017","골프연습장","3","3","33","1","0","0","0"
"20213","11440630","신수동","CS200019","PC방","1","1","0","0","0","0","0"
"20213","11440630","신수동","CS200022","복권방","2","2","0","0","0","0","0"
"20213","11440630","신수동","CS200023","통신기기수리","1","1","0","0","0","0","0"
